,marca,preço,link
0,"NOTEBOOK GAMER LENOVO GAMING 3I INTEL CORE I5-11300H, GEFORCE GTX 1650, 8GB RAM, SSD 512GB, 15.6 FULL HD, WINDOWS 11, PRETO  - 82MG0009BR","R$ 4.199,99",https://www.kabum.com.br//produto/373931/notebook-gamer-lenovo-gaming-3i-intel-core-i5-11300h-geforce-gtx-1650-8gb-ram-ssd-512gb-15-6-full-hd-windows-11-preto-82mg0009br
1,"NOTEBOOK ASUS AMD RYZEN 5-3500U, 8GB RAM, SSD 256GB, 15,6', RADEON VEGA 8, WINDOWS 11 HOME, CINZA - M515DA-BR1213W","R$ 3.099,99",https://www.kabum.com.br//produto/334039/notebook-asus-amd-ryzen-5-3500u-8gb-ram-ssd-256gb-15-6-radeon-vega-8-windows-11-home-cinza-m515da-br1213w
2,"NOTEBOOK ACER ASPIRE 5 RYZEN 7-5700U, 8GB RAM, 256GB SSD NVME, TELA 15.6 IPS FULL HD, WINDOWS 11 HOME, PRATA - A515-45-R760","R$ 3.599,99",https://www.kabum.com.br//produto/308368/notebook-acer-aspire-5-ryzen-7-5700u-8gb-ram-256gb-ssd-nvme-tela-15-6-ips-full-hd-windows-11-home-prata-a515-45-r760
3,"NOTEBOOK GAMER ACER NITRO 5 INTEL CORE I7-11800H, GEFORCE GTX 1650, 8GB RAM, SSD 512GB, 15.6 FULL HD 144HZ IPS, WINDOWS 11, PRETO - AN515-57-740K","R$ 5.199,99",https://www.kabum.com.br//produto/382898/notebook-gamer-acer-nitro-5-intel-core-i7-11800h-geforce-gtx-1650-8gb-ram-ssd-512gb-15-6-full-hd-144hz-ips-windows-11-preto-an515-57-740k
4,"NOTEBOOK ASUS INTEL CORE I3 1005G1, 4GB RAM, 256GB SSD, TELA 15.6, ENDLESS OS, CINZA - X515JA-BR2750","R$ 1.949,99",https://www.kabum.com.br//produto/369923/notebook-asus-intel-core-i3-1005g1-4gb-ram-256gb-ssd-tela-15-6-endless-os-cinza-x515ja-br2750
5,"NOTEBOOK ACER ASPIRE 5, INTEL CORE I5 11ª GEN, 8GB, SSD 256GB, 14 POL. FULL HD, LINUX GUTTA - A514-54-56LF","R$ 2.599,35",https://www.kabum.com.br//produto/401176/notebook-acer-aspire-5-intel-core-i5-11-gen-8gb-ssd-256gb-14-pol-full-hd-linux-gutta-a514-54-56lf
6,"NOTEBOOK GAMER LENOVO GAMING 3I INTEL CORE I5-11300H, GEFORCE GTX1650, 8GB RAM, SSD 512GB, 15.6 FULL HD, LINUX, PRETO - 82MGS00200","R$ 3.899,99",https://www.kabum.com.br//produto/378467/notebook-gamer-lenovo-gaming-3i-intel-core-i5-11300h-geforce-gtx1650-8gb-ram-ssd-512gb-15-6-full-hd-linux-preto-82mgs00200
7,"NOTEBOOK SAMSUNG INTEL CORE I5-1135G7, 8GB RAM, SSD 256GB, 15.6 FULL HD, WINDOWS 11 HOME, CINZA - NP550XDA-KH2BR","R$ 2.969,10",https://www.kabum.com.br//produto/291436/notebook-samsung-intel-core-i5-1135g7-8gb-ram-ssd-256gb-15-6-full-hd-windows-11-home-cinza-np550xda-kh2br
8,"NOTEBOOK ACER ASPIRE 5, INTEL CORE I7 11ª GEN, 8GB, SSD 512GB, 15.6 POL. FULL HD, LINUX GUTTA - A515-56-740V","R$ 3.495,05",https://www.kabum.com.br//produto/401177/notebook-acer-aspire-5-intel-core-i7-11-gen-8gb-ssd-512gb-15-6-pol-full-hd-linux-gutta-a515-56-740v
9,"NOTEBOOK GAMER LENOVO LEGION 5 AMD RYZEN 7-5800H, 16GB RAM, SSD 512GB, GEFORCE RTX 3050, 15.6 FULL HD, WINDOWS 11,  PHANTOM BLUE - 82QJ0000BR","R$ 6.299,99",https://www.kabum.com.br//produto/307100/notebook-gamer-lenovo-legion-5-amd-ryzen-7-5800h-16gb-ram-ssd-512gb-geforce-rtx-3050-15-6-full-hd-windows-11-phantom-blue-82qj0000br
10,"NOTEBOOK GAMER ACER NITRO 5 AMD RYZEN 7-4800H, 8GB RAM, SSD 256GB, GEFORCE GTX 1650, HDD 1TB, 15.6 FULL HD, WINDOWS 11, PRETO  - AN515-44-R629","R$ 4.999,99",https://www.kabum.com.br//produto/339504/notebook-gamer-acer-nitro-5-amd-ryzen-7-4800h-8gb-ram-ssd-256gb-geforce-gtx-1650-hdd-1tb-15-6-full-hd-windows-11-preto-an515-44-r629
11,"NOTEBOOK ASUS VIVOBOOK 15 INTEL CORE I5-1135G7, 8GB RAM, SSD 256GB, 15.6 FULL HD, WINDOWS 11 HOME, AZUL COBALTO - X513EA-BQ2782W","R$ 3.699,99",https://www.kabum.com.br//produto/430132/notebook-asus-vivobook-15-intel-core-i5-1135g7-8gb-ram-ssd-256gb-15-6-full-hd-windows-11-home-azul-cobalto-x513ea-bq2782w
12,"NOTEBOOK GAMER DELL G15 INTEL CORE I5-12500H, 8GB RAM, GEFORCE RTX3050, SSD 512GB, 15.6 FULL HD, WINDOWS 11, PRETO - G15-I1200-A20P","R$ 5.899,99",https://www.kabum.com.br//produto/393668/notebook-gamer-dell-g15-intel-core-i5-12500h-8gb-ram-geforce-rtx3050-ssd-512gb-15-6-full-hd-windows-11-preto-g15-i1200-a20p
13,"NOTEBOOK LENOVO ULTRAFINO IDEAPAD 3I-15IGL INTEL CELERON N4020, 4GB RAM, 128GB SSD, LINUX, PRATA - 82BUS00100","R$ 1.599,99",https://www.kabum.com.br//produto/340741/notebook-lenovo-ultrafino-ideapad-3i-15igl-intel-celeron-n4020-4gb-ram-128gb-ssd-linux-prata-82bus00100
14,"NOTEBOOK GAMER ACER NITRO 5 INTEL CORE I7-11800H, GEFORCE RTX 3050, 8GB RAM, SSD 512GB, 15.6 FULL HD 144HZ, WINDOWS 11, PRETO - AN515-57-73G1","R$ 7.599,99",https://www.kabum.com.br//produto/382887/notebook-gamer-acer-nitro-5-intel-core-i7-11800h-geforce-rtx-3050-8gb-ram-ssd-512gb-15-6-full-hd-144hz-windows-11-preto-an515-57-73g1
15,"NOTEBOOK ASUS AMD RYZEN 5-3500U, 8GB RAM, SSD 256GB, 15,6', RADEON VEGA 8, LINUX, CINZA - M515DA-BR1213","R$ 2.999,99",https://www.kabum.com.br//produto/334040/notebook-asus-amd-ryzen-5-3500u-8gb-ram-ssd-256gb-15-6-radeon-vega-8-linux-cinza-m515da-br1213
16,"NOTEBOOK LENOVO IDEAPAD 3I INTEL CORE I7-1165G7, 8GB RAM, SSD 512GB, 15.6 FULL HD, IRIS XE GRAPHICS, WINDOWS 11 HOME, CINZA - 82MD000RBR","R$ 3.699,99",https://www.kabum.com.br//produto/435937/notebook-lenovo-ideapad-3i-intel-core-i7-1165g7-8gb-ram-ssd-512gb-15-6-full-hd-iris-xe-graphics-windows-11-home-cinza-82md000rbr
